Adj_Close,Close,High,Low,Open,Volume,date,stock_id
3321.75,3321.75,3337.77,3320.04,3330.02,1832853326,2020-01-22,^GSPC
3325.54,3325.54,3326.88,3301.87,3315.77,1997629413,2020-01-23,^GSPC
3295.47,3295.47,3333.18,3281.53,3333.1,2098084732,2020-01-24,^GSPC
3243.63,3243.63,3258.85,3234.5,3247.16,2115023651,2020-01-27,^GSPC
3276.24,3276.24,3285.78,3253.22,3255.35,1927261468,2020-01-28,^GSPC
3273.4,3273.4,3293.47,3271.89,3289.46,2084087513,2020-01-29,^GSPC
3283.66,3283.66,3285.91,3242.8,3256.45,2235022455,2020-01-30,^GSPC
3225.52,3225.52,3282.33,3214.68,3282.33,2656511142,2020-01-31,^GSPC
3248.92,3248.92,3268.44,3235.66,3235.66,2080767120,2020-02-03,^GSPC
3297.59,3297.59,3306.92,3280.61,3280.61,2125939247,2020-02-04,^GSPC
3334.69,3334.69,3337.58,3313.75,3324.91,2234076316,2020-02-05,^GSPC
3345.78,3345.78,3347.96,3334.39,3344.92,1944369471,2020-02-06,^GSPC
3327.71,3327.71,3341.42,3322.12,3335.54,1846439738,2020-02-07,^GSPC
3352.09,3352.09,3352.26,3317.77,3318.28,1699054266,2020-02-10,^GSPC
3357.75,3357.75,3375.63,3352.72,3365.87,1863190856,2020-02-11,^GSPC
3379.45,3379.45,3381.47,3369.72,3370.5,1988016252,2020-02-12,^GSPC
3373.94,3373.94,3385.09,3360.52,3365.9,1886207698,2020-02-13,^GSPC
3380.16,3380.16,3380.69,3366.15,3378.08,1648157072,2020-02-14,^GSPC
3370.29,3370.29,3375.01,3355.61,3369.04,1865392416,2020-02-18,^GSPC
3386.15,3386.15,3393.52,3378.83,3380.39,1711946279,2020-02-19,^GSPC
3373.23,3373.23,3389.15,3341.02,3380.45,2016548341,2020-02-20,^GSPC
3337.75,3337.75,3360.76,3328.45,3360.5,2104700857,2020-02-21,^GSPC
3225.89,3225.89,3259.81,3214.65,3257.61,2717348399,2020-02-24,^GSPC
3128.21,3128.21,3246.99,3118.77,3238.94,3118451025,2020-02-25,^GSPC
3116.39,3116.39,3182.51,3108.99,3139.9,2968588783,2020-02-26,^GSPC
2978.76,2978.76,3097.07,2977.39,3062.54,3907715268,2020-02-27,^GSPC
2954.22,2954.22,2959.72,2855.84,2916.9,810394856,2020-02-28,^GSPC
3090.23,3090.23,3090.96,2945.19,2974.28,3790004908,2020-03-02,^GSPC
3003.37,3003.37,3136.72,2976.63,3096.46,3853956556,2020-03-03,^GSPC
3130.12,3130.12,3130.97,3034.38,3045.75,3035495588,2020-03-04,^GSPC
3023.94,3023.94,3083.04,2999.83,3075.7,3220527880,2020-03-05,^GSPC
2972.37,2972.37,2985.93,2901.54,2954.2,3900143283,2020-03-06,^GSPC
2746.56,2746.56,2863.89,2734.43,2863.89,411096782,2020-03-09,^GSPC
2882.23,2882.23,2882.59,2734,2813.48,51045026,2020-03-10,^GSPC
2741.38,2741.38,2825.6,2732.28,2825.6,4241642899,2020-03-11,^GSPC
2480.64,2480.64,2660.95,2478.86,2630.86,923666485,2020-03-12,^GSPC
2711.02,2711.02,2711.33,2492.37,2569.99,600445640,2020-03-13,^GSPC
2386.13,2386.13,2562.98,2380.94,2508.59,356016088,2020-03-16,^GSPC
2529.19,2529.19,2553.93,2367.04,2425.66,8358500000,2020-03-17,^GSPC
2351.9,2351.9,2453.57,2351.9,2436.5,2298103319,2020-03-18,^GSPC
2409.39,2409.39,2466.97,2319.78,2393.48,262777088,2020-03-19,^GSPC
2304.92,2304.92,2453.01,2295.56,2431.94,969130335,2020-03-20,^GSPC
2237.4,2237.4,2300.73,2191.86,2290.71,322111135,2020-03-23,^GSPC
2447.33,2447.33,2449.71,2344.44,2344.44,423902811,2020-03-24,^GSPC
2475.56,2475.56,2571.42,2407.53,2457.77,586234103,2020-03-25,^GSPC
2630.07,2630.07,2637.01,2500.72,2501.29,45919738,2020-03-26,^GSPC
2541.47,2541.47,2615.91,2520.02,2555.87,3590712059,2020-03-27,^GSPC
2626.65,2626.65,2631.8,2545.28,2558.98,3370871942,2020-03-30,^GSPC
2584.59,2584.59,2641.39,2571.15,2614.69,6568290000,2020-03-31,^GSPC
2470.5,2470.5,2522.75,2447.49,2498.08,5947900000,2020-04-01,^GSPC
2526.9,2526.9,2533.22,2455.79,2458.54,3870184448,2020-04-02,^GSPC
29186.3,29186.3,29320.2,29172.3,29263.6,279437174,2020-01-22,^DJI
29160.1,29160.1,29190.5,28967,29111,296132320,2020-01-23,^DJI
28989.7,28989.7,29288.8,28843.3,29230.4,378687447,2020-01-24,^DJI
28535.8,28535.8,28671.8,28440.5,28542.5,334102760,2020-01-27,^DJI
28722.8,28722.8,28823.2,28575.8,28594.3,330138767,2020-01-28,^DJI
28734.4,28734.4,28944.2,28728.2,28820.5,302294526,2020-01-29,^DJI
28859.4,28859.4,28879.7,28489.8,28640.2,322169619,2020-01-30,^DJI
28256,28256,28813,28169.5,28813,398730714,2020-01-31,^DJI
28399.8,28399.8,28630.4,28319.7,28319.7,307910131,2020-02-03,^DJI
28807.6,28807.6,28904.9,28696.7,28696.7,329148869,2020-02-04,^DJI
29290.8,29290.8,29308.9,29000.8,29048.7,352110160,2020-02-05,^DJI
29379.8,29379.8,29408.1,29246.9,29388.6,262373264,2020-02-06,^DJI
29102.5,29102.5,29286.9,29057,29286.9,252863218,2020-02-07,^DJI
29276.8,29276.8,29278.1,28995.7,28995.7,250507194,2020-02-10,^DJI
29276.3,29276.3,29415.4,29210.5,29390.7,279541998,2020-02-11,^DJI
29551.4,29551.4,29568.6,29406.8,29406.8,305925541,2020-02-12,^DJI
29423.3,29423.3,29535.4,29345.9,29436,291150361,2020-02-13,^DJI
29398.1,29398.1,29463,29283.2,29440.5,230999133,2020-02-14,^DJI
29232.2,29232.2,29330.2,29116.8,29282.8,256595818,2020-02-18,^DJI
29348,29348,29409.1,29274.4,29312.7,240638177,2020-02-19,^DJI
29220,29220,29368.4,28959.7,29296.2,287779153,2020-02-20,^DJI
28992.4,28992.4,29146.5,28892.7,29146.5,311205640,2020-02-21,^DJI
27960.8,27960.8,28402.9,27912.4,28402.9,452584241,2020-02-24,^DJI
27081.4,27081.4,28149.2,26997.6,28037.7,510900461,2020-02-25,^DJI
26957.6,26957.6,27542.8,26891,27159.5,472448864,2020-02-26,^DJI
25766.6,25766.6,26775.3,25752.8,26526,664981250,2020-02-27,^DJI
25409.4,25409.4,25494.2,24681,25270.8,915989001,2020-02-28,^DJI
26703.3,26703.3,26706.2,25392,25590.5,632540268,2020-03-02,^DJI
25917.4,25917.4,27084.6,25706.3,26762.5,643166180,2020-03-03,^DJI
27090.9,27090.9,27102.3,26286.3,26383.7,445751147,2020-03-04,^DJI
26121.3,26121.3,26671.9,25943.3,26671.9,475799061,2020-03-05,^DJI
25864.8,25864.8,25994.4,25226.6,25457.2,599779738,2020-03-06,^DJI
23851,23851,24992.4,23706.1,24992.4,750431083,2020-03-09,^DJI
25018.2,25018.2,25021,23690.3,24453,654859333,2020-03-10,^DJI
23553.2,23553.2,24604.6,23331.4,24604.6,663956266,2020-03-11,^DJI
21200.6,21200.6,22837.9,21154.5,22184.7,911774226,2020-03-12,^DJI
23185.6,23185.6,23189.8,21285.4,21973.8,843080954,2020-03-13,^DJI
20188.5,20188.5,21768.3,20116.5,20917.5,775906049,2020-03-16,^DJI
21237.4,21237.4,21379.3,19882.3,20487.1,793060000,2020-03-17,^DJI
19576.8,19576.8,20489.3,19576.8,20188.7,389748450,2020-03-18,^DJI
20087.2,20087.2,20442.6,19177.1,19830,795798217,2020-03-19,^DJI
19174,19174,20531.3,19094.3,20253.2,872291448,2020-03-20,^DJI
18591.9,18591.9,19121,18213.7,19028.4,801235525,2020-03-23,^DJI
20704.9,20704.9,20737.7,19649.2,19722.2,808466182,2020-03-24,^DJI
21200.6,21200.6,22019.9,20538.3,21050.3,803309664,2020-03-25,^DJI
22552.2,22552.2,22595.1,21427.1,21468.4,713734739,2020-03-26,^DJI
21636.8,21636.8,22327.6,21469.3,21898.5,591330455,2020-03-27,^DJI
22327.5,22327.5,22378.1,21522.1,21678.2,546850083,2020-03-30,^DJI
21917.2,21917.2,22480.4,21852.1,22208.4,571210000,2020-03-31,^DJI
20943.5,20943.5,21487.2,20784.4,21227.4,506680000,2020-04-01,^DJI
21413.4,21413.4,21477.8,20735,20819.5,534668793,2020-04-02,^DJI
9383.77,9383.77,9439.29,9375.13,9413.61,2274629029,2020-01-22,^IXIC
9402.48,9402.48,9409.2,9334.13,9377.72,2249022714,2020-01-23,^IXIC
9314.91,9314.91,9451.43,9273.23,9446.21,2366992762,2020-01-24,^IXIC
9139.31,9139.31,9185.45,9088.04,9092.46,2318378554,2020-01-27,^IXIC
9269.68,9269.68,9288.87,9182.33,9201.82,1944710140,2020-01-28,^IXIC
9275.16,9275.16,9329.11,9249.04,9318.26,2044692965,2020-01-29,^IXIC
9298.93,9298.93,9303,9185.18,9211.15,2093973474,2020-01-30,^IXIC
9150.94,9150.94,9324.8,9123.22,9324.32,2352103033,2020-01-31,^IXIC
9273.4,9273.4,9299.85,9188.55,9190.72,2181273489,2020-02-03,^IXIC
9467.97,9467.97,9485.38,9374.05,9398.39,2195502252,2020-02-04,^IXIC
9508.68,9508.68,9574.94,9454.93,9574.1,2219500393,2020-02-05,^IXIC
9572.15,9572.15,9575.66,9505.68,9540.98,2077481209,2020-02-06,^IXIC
9520.51,9520.51,9570.09,9496.53,9526.64,2026580524,2020-02-07,^IXIC
9628.39,9628.39,9628.66,9493.63,9493.63,2013652421,2020-02-10,^IXIC
9638.94,9638.94,9714.74,9617.21,9680.89,2221816979,2020-02-11,^IXIC
9725.96,9725.96,9728.77,9666.68,9688.6,2175806893,2020-02-12,^IXIC
9711.97,9711.97,9748.32,9650.02,9657.04,2054601958,2020-02-13,^IXIC
9731.18,9731.18,9746.36,9693.05,9728.9,2052313269,2020-02-14,^IXIC
9732.74,9732.74,9747.68,9675.8,9679.04,2079732926,2020-02-18,^IXIC
9817.18,9817.18,9838.37,9777.1,9782.81,2306485110,2020-02-19,^IXIC
9750.96,9750.96,9820.86,9636.94,9799.2,2481794204,2020-02-20,^IXIC
9576.59,9576.59,9715.95,9542.33,9708.01,2459112566,2020-02-21,^IXIC
9221.28,9221.28,9322.88,9166.01,9188.44,2767719957,2020-02-24,^IXIC
8965.61,8965.61,9315.26,8940.49,9301.2,3079838134,2020-02-25,^IXIC
8980.77,8980.77,9148.32,8927.8,9011.55,3122737676,2020-02-26,^IXIC
8566.48,8566.48,8904.11,8562.05,8744.03,3920051047,2020-02-27,^IXIC
8567.37,8567.37,8591.82,8264.16,8269.74,230895336,2020-02-28,^IXIC
8952.17,8952.17,8952.81,8543.35,8667.14,3666745149,2020-03-02,^IXIC
8684.09,8684.09,9070.32,8602.89,8965.1,3718269718,2020-03-03,^IXIC
9018.09,9018.09,9019.96,8757.66,8834.1,3202105133,2020-03-04,^IXIC
8738.59,8738.59,8921.08,8677.39,8790.09,3360272236,2020-03-05,^IXIC
8575.62,8575.62,8612.36,8375.13,8469.02,3744248603,2020-03-06,^IXIC
7950.68,7950.68,8243.31,7943.16,7957.93,3901120550,2020-03-09,^IXIC
8344.25,8344.25,8347.4,7930.43,8219.76,3876274193,2020-03-10,^IXIC
7952.05,7952.05,8181.36,7853.43,8136.25,3767054015,2020-03-11,^IXIC
7201.8,7201.8,7712.33,7194.67,7398.58,21610261,2020-03-12,^IXIC
7874.88,7874.88,7875.93,7219.09,7610.39,4037407036,2020-03-13,^IXIC
6904.59,6904.59,7422.2,6882.86,7392.73,3984634638,2020-03-16,^IXIC
7334.78,7334.78,7406.23,6828.91,7072,4900000000,2020-03-17,^IXIC
6872.41,6872.41,7182.83,6872.41,7072,1987184083,2020-03-18,^IXIC
7150.58,7150.58,7341.38,6858.38,6996.45,4072546615,2020-03-19,^IXIC
6879.52,6879.52,7354.44,6854.67,7248.07,301586129,2020-03-20,^IXIC
6860.67,6860.67,6984.94,6631.42,6847.28,3667036647,2020-03-23,^IXIC
7417.86,7417.86,7418.37,7169.86,7196.15,3843891495,2020-03-24,^IXIC
7384.29,7384.29,7671.21,7276.4,7421.36,4078312710,2020-03-25,^IXIC
7797.54,7797.54,7809.82,7462.21,7462.21,3464861572,2020-03-26,^IXIC
7502.38,7502.38,7716.24,7491.13,7554.25,3487834320,2020-03-27,^IXIC
7774.15,7774.15,7784.35,7539.97,7583.46,3438389834,2020-03-30,^IXIC
7700.1,7700.1,7880.31,7642.86,7740.06,4059700000,2020-03-31,^IXIC
7360.58,7360.58,7566.37,7301.98,7459.5,3685510000,2020-04-01,^IXIC
7487.31,7487.31,7501.38,7307.95,7317.45,3204570526,2020-04-02,^IXIC
